Id,OrderAt,StoreId,UserId
fe0ac27f-13c3-4c11-af8f-2a8821812f31,2016-10-22 16:48:35,42b62f59-976d-45ad-a4ed-1fffeeb306fa,cc4433cb-fa73-4119-bf7b-d60d46052fe5
043b17ed-278f-4f5d-b18e-633969218189,2007-04-09 17:32:26,6c9b2bee-965a-4260-ad10-8c45a684fe58,e5cfca08-57db-4a4e-9613-d1d8259504d5
2e7ae8df-12f3-4d5a-8067-fef2563ce18b,2023-10-13 08:48:35,7e0e40b8-6bcb-42d1-a560-d224183eb139,80a7a350-0e57-423f-95a4-a7b56b396d32
7834083c-6bee-4744-a5c2-f94f323b8cd8,2007-08-01 10:10:55,1614b79d-cc68-4573-a296-cee015fabf79,0db5fe1a-05c4-4894-b05e-033599444812
d3e3750a-d7de-4e91-be64-fd5109c28e39,2009-11-19 16:40:25,e8f1f345-bbae-4880-a1c1-2d04344eb88f,b1318c94-c130-4696-a2db-f1461ef213b2
b96bf817-0bdc-4305-9952-a1b81f500799,2015-02-24 18:39:33,0d6bdf89-8af2-4a4e-818d-3fe1e3e46c25,f018f111-e88e-402e-b568-4658191a9357
ab378571-5055-4ecf-871c-f7f76eb66c9d,2021-11-01 19:30:17,817d8ca9-5f19-498b-8d58-31c992f06889,db3a59e6-9304-445e-833d-70ad26f148c2
a7be5cc9-349d-416a-a0a7-7a34b2da72f5,2001-09-16 07:39:37,ede8dbdb-761b-4d88-a09e-abd71a706234,55c69445-c78e-4c4b-8961-d5941c80e0a3
3d8b336c-f29d-435a-bd16-f6f65999dc36,2020-01-25 20:29:26,c9b3647b-527a-4927-aaa9-f6e6076dd21d,543b40fd-356e-4694-bbdd-5c8419a8eba0
fdc88b1d-6e24-4482-9ea8-7118ddce03f6,2016-10-17 07:12:25,893cc398-ecf0-4e02-bc14-78273b8f603d,ea4b6bf1-ede2-4ea0-b0f8-10c94a06d1a5
893efc57-c731-4ad9-a32e-3881f43cc9f8,2024-04-02 09:25:18,d2a7879f-8f33-41aa-b6d6-71063d99fe5e,11bcf1d6-6290-495e-8213-117f638c0a97
ddcb6352-9cef-4f22-8396-d1cf6e23c69a,2004-10-23 17:41:43,e8f1f345-bbae-4880-a1c1-2d04344eb88f,879479fd-947e-4e83-8dab-cea59e1d5cde
f90d28f9-85c4-453a-ae0b-f8ee80beb169,2022-02-17 19:36:18,4f75b903-0c1f-41db-a498-651ddaeebae6,5823aa15-3090-4e09-8fb8-4739cef3d879
