Id,Name,Type,UnitPrice
ceb93608-e31c-4a16-826f-c516eff557a5,Hand-Drip,코스타리카 엘 세드로(Costa Rica C.O.E Winner El Cedro),12000
36501944-a994-407a-afb5-349c7851d7e5,Hand-Drip,파나마 호세 게이샤(Panama Jose Geisha),10000
73e5a303-3a7a-4da1-8e0c-caa889843543,Hand-Drip,에티오피아 구지 함벨라 내추럴(Ethiopia Guji Hambela Natural),6000
a2481e4b-c057-4224-ad99-1ea296d07073,Hand-Drip,에티오피아 시다모 하마쇼(Ethiopia Sidamo Hamasho),6000
bbe3c28e-2d7a-4b0d-b21b-c7a5c8644f54,Hand-Drip,르완다 저스틴(Rwanda Justin),6000
8179ac43-2a94-4d57-945c-5cc573ce9c24,Hand-Drip,과테말라 아우렐리오II(Guatemala Aurelioll),6000
a0477043-6c7f-4355-95db-462db9b5476b,Hand-Drip,온두라스 마리&모이(Honduras Mary&Moi),6000
7de8ef50-1dac-45ec-bbef-9a867c1b5225,Hand-Drip,페루 코프밤(Peru Coopbam),6000
a17dc6db-447b-48a3-94ae-00ea407581ff,Hand-Drip,브라질 실비오(Bratil Silvio),5500
58d8ed0c-7485-429d-bd31-cbddb06bcaca,Hand-Drip,강릉 블렌드(Gangneung Blend),6000
f5bf08c4-8aad-4caa-85ca-f16cf60c08e0,Hand-Drip,윈터 솔스티스 블렌드(Winter Solstice Blend),6000
dc7b0e46-6ec3-415b-ba02-9fd7b06a31a1,Espresso Variation,아메리카노 어센틱(Americano Authentic),5500
3ea50dc2-ea38-4ac5-8a66-5d124761e48e,Espresso Variation,카페라테(Caffè Latte),5500
b0a380b1-7a96-491e-a9fa-89ce7af50a32,Espresso Variation,카푸치노(Cappuccino),5000
5f9e72ef-279d-422d-8b18-f43c44e9de84,Espresso Variation,에스프레소 마키아토(Espresso Macchiatto),5000
03b21de6-e60f-4800-8ec7-1b18e8579fb3,Espresso Variation,에스프레소 더블(Espresso Double),5000
1e30afde-8841-49c3-9a31-f82575da956b,House Beverage,하우스 주스 제주 감귤로 착즙한(Jeju Mandarin Juice),7000
2cf86dd0-3f80-4550-9c50-66f41e1b7dbb,House Beverage,베네수엘라 초콜릿(Venezuelan Chocolate),6000
3a51e1ae-7521-4d5b-84d4-38f3801191eb,House Beverage,우유(Milk),3000
a92a1ce4-3691-4ff8-9809-3e17227de5b9,Tea,그릭 세이지(Greek Sage),5000
1285158b-d078-4341-a58c-2f0c83394e1b,Tea,카카오 티(Cacao Tea),5000
